"Region","Element","Item","Average"
"Africa_East","Food supply quantity (g/capita/day)","Oranges & mandarines",4.43172564739656
"Africa_East","Food supply quantity (g/capita/day)","Palm oil",7.13960391533493
"Africa_East","Food supply quantity (g/capita/day)","Peas",4.22546283146719
"Africa_East","Food supply quantity (g/capita/day)","Pepper",0.0315577201823834
"Africa_East","Food supply quantity (g/capita/day)","Pimento",1.15228145804044
"Africa_East","Food supply quantity (g/capita/day)","Pineapples",3.74171659547885
"Africa_East","Food supply quantity (g/capita/day)","Potatoes",52.6901138807521
"Africa_East","Food supply quantity (g/capita/day)","Pulses, other",21.6950876376195
"Africa_East","Food supply quantity (g/capita/day)","Rape & mustard",0.12683173037321
"Africa_East","Food supply quantity (g/capita/day)","Rice",11.7298126827635
"Africa_East","Food supply quantity (g/capita/day)","Roots, other",53.6271896802041
"Africa_East","Food supply quantity (g/capita/day)","Rye",0
"Africa_East","Food supply quantity (g/capita/day)","Sesame",3.30683964199109
"Africa_East","Food supply quantity (g/capita/day)","Sorghum",72.2990460706595
"Africa_East","Food supply quantity (g/capita/day)","Soybean",1.54699854137712
"Africa_East","Food supply quantity (g/capita/day)","Spices, other",0.582077397018729
"Africa_East","Food supply quantity (g/capita/day)","Sugar",52.8540546488552
"Africa_East","Food supply quantity (g/capita/day)","Sunflower",2.69270268318991
"Africa_East","Food supply quantity (g/capita/day)","Sweet potatoes",55.0284263103384
"Africa_East","Food supply quantity (g/capita/day)","Sweeteners, other",0.389558414186932
"Africa_East","Food supply quantity (g/capita/day)","Tea",1.07314885605121
"Africa_East","Food supply quantity (g/capita/day)","Tomatoes",14.3035213782137
"Africa_East","Food supply quantity (g/capita/day)","Treenuts",1.0588963874436
"Africa_East","Food supply quantity (g/capita/day)","Vegetables, other",63.3294074242003
"Africa_East","Food supply quantity (g/capita/day)","Wheat",78.4524438012511
"Africa_East","Food supply quantity (g/capita/day)","Yams",4.68492609483547
"Africa_East","Protein supply quantity (g/capita/day)","Apples",0
"Africa_East","Protein supply quantity (g/capita/day)","Bananas & plantains",0.890193189461646
"Africa_East","Protein supply quantity (g/capita/day)","Barley",1.33138586157986
"Africa_East","Protein supply quantity (g/capita/day)","Beans",3.49126243972408
"Africa_East","Protein supply quantity (g/capita/day)","Beverages, alcoholic",0
"Africa_East","Protein supply quantity (g/capita/day)","Beverages, fermented",0.291933663852155
