"Region","Region_crops","Average","Percentage","Element"
"Asia_South","Asia_South",99439956,0.471325060869226,"Area harvested"
"Asia_South","Asia_East",82676783.67,0.391871051267707,"Area harvested"
"Asia_South","Asia_Southeast",82377046.33,0.390450357557623,"Area harvested"
"Asia_South","Africa_West",76393875.67,0.362091351892783,"Area harvested"
"Asia_South","Africa_Central",64872825,0.307483927204107,"Area harvested"
"Asia_South","Mediterranean_SouthandEast",51169187.33,0.242531486366919,"Area harvested"
"Asia_South","Asia_West",47449541,0.224901123247096,"Area harvested"
"Asia_South","America_Central_and_Mexico",35043643,0.166099703121896,"Area harvested"
"Asia_South","Africa_East",34857663.33,0.165218197509774,"Area harvested"
"Asia_South","Asia_Central",32763641.67,0.155292962965614,"Area harvested"
"Asia_South","Africa_Southern",30874995.33,0.146341165449121,"Area harvested"
"Asia_South","America_South_tropical",22404394,0.106192246965477,"Area harvested"
"Asia_South","America_South_andean",12856459.67,0.0609369903233414,"Area harvested"
"Asia_South","America_Caribbean",12156783.67,0.0576206691326046,"Area harvested"
"Asia_South","Europe_Eastern_south",10261897.33,0.0486392952918844,"Area harvested"
"Asia_South","Europe_Western_south",9893957.67,0.0468953365290135,"Area harvested"
"Asia_South","Not_Specified",7659082.33,0.0363024843392898,"Area harvested"
"Asia_South","Pacific_Region_tropical",2447493,0.0116006164282897,"Area harvested"
"Asia_South","America_North",1670676,0.007918662669086,"Area harvested"
"Asia_South","Europe_Eastern_north",841155.67,0.00398690590091617,"Area harvested"
"Asia_South","Europe_Western_north",841155.67,0.00398690590091617,"Area harvested"
"Asia_South","America_South_temperate",0,0,"Area harvested"
"Asia_Southeast","Asia_South",64310175.12,0.588109756472446,"Area harvested"
"Asia_Southeast","Africa_West",62194533.46,0.568762437030011,"Area harvested"
"Asia_Southeast","Africa_Central",61980239.13,0.566802738024456,"Area harvested"
"Asia_Southeast","Asia_Southeast",61636791.97,0.563661950034813,"Area harvested"
"Asia_Southeast","Asia_East",51441765.26,0.470429507976301,"Area harvested"
"Asia_Southeast","America_Central_and_Mexico",31609192.59,0.289062726414724,"Area harvested"
"Asia_Southeast","America_South_tropical",20901272.26,0.191139926393547,"Area harvested"
"Asia_Southeast","Pacific_Region_tropical",7034265.59,0.064327615581486,"Area harvested"
"Asia_Southeast","Africa_East",4950532.66,0.0452720981034314,"Area harvested"
"Asia_Southeast","Not_Specified",4785728,0.043764976900958,"Area harvested"
"Asia_Southeast","America_South_andean",4042591.67,0.0369690736827407,"Area harvested"
"Asia_Southeast","Asia_West",2769474.89,0.0253265552468994,"Area harvested"
"Asia_Southeast","Africa_Southern",1170276.76,0.0107020573189968,"Area harvested"
"Asia_Southeast","Mediterranean_SouthandEast",927046.22,0.00847773973038594,"Area harvested"
"Asia_Southeast","America_Caribbean",905211.09,0.00827805977363131,"Area harvested"
"Asia_Southeast","America_North",854471.22,0.0078140490236456,"Area harvested"
"Asia_Southeast","Asia_Central",622602.67,0.00569363563307919,"Area harvested"
"Asia_Southeast","Europe_Eastern_south",450796.67,0.00412248791606602,"Area harvested"
"Asia_Southeast","Europe_Western_south",450796.67,0.00412248791606602,"Area harvested"
"Asia_Southeast","Europe_Eastern_north",22026.33,0.000201428460552476,"Area harvested"
"Asia_Southeast","Europe_Western_north",22026.33,0.000201428460552476,"Area harvested"
"Asia_Southeast","America_South_temperate",106.67,9.7548587926961e-07,"Area harvested"
"Asia_West","Asia_West",46948409.95,0.692440182548487,"Area harvested"
"Asia_West","Mediterranean_SouthandEast",44161299.18,0.651333199534217,"Area harvested"
"Asia_West","Asia_Central",40640233.27,0.599401142110286,"Area harvested"
"Asia_West","Asia_South",10299041.32,0.151900140160023,"Area harvested"
"Asia_West","Africa_East",7602770.43,0.112132950829008,"Area harvested"
"Asia_West","Asia_East",7557885.13,0.111470939370923,"Area harvested"
"Asia_West","America_Central_and_Mexico",7127739.43,0.105126737994398,"Area harvested"
"Asia_West","Asia_Southeast",6487437.63,0.0956829528747251,"Area harvested"
"Asia_West","Africa_Southern",6126007.83,0.0903522395032393,"Area harvested"
"Asia_West","Africa_West",5402324.43,0.0796786625676841,"Area harvested"
"Asia_West","Europe_Eastern_south",4714848.17,0.0695391032624993,"Area harvested"
"Asia_West","Africa_Central",4488932.07,0.0662070759224628,"Area harvested"
"Asia_West","America_South_tropical",4372922.5,0.0644960555084867,"Area harvested"
"Asia_West","Europe_Western_south",4349095.17,0.0641446271906285,"Area harvested"
"Asia_West","America_Caribbean",3902609.7,0.0575594312131437,"Area harvested"
"Asia_West","America_North",2071996.7,0.0305597947772002,"Area harvested"
"Asia_West","America_South_andean",1763688.47,0.0260125692739347,"Area harvested"
"Asia_West","Europe_Eastern_north",1595642.1,0.0235340602202024,"Area harvested"
"Asia_West","Europe_Western_north",1595642.1,0.0235340602202024,"Area harvested"
"Asia_West","Not_Specified",1336777.87,0.0197160822552964,"Area harvested"
"Asia_West","Pacific_Region_tropical",272052.7,0.00401249417075964,"Area harvested"
"Asia_West","America_South_temperate",15283.23,0.000225411735613647,"Area harvested"
"Europe_Eastern_north","Mediterranean_SouthandEast",66570164.67,0.587122730547953,"Area harvested"
"Europe_Eastern_north","Asia_West",64666997.67,0.57033754440236,"Area harvested"
"Europe_Eastern_north","Asia_Central",59563777.33,0.5253291434849,"Area harvested"
"Europe_Eastern_north","America_North",13153377.67,0.116007629721534,"Area harvested"
